60    [[0, 1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
2400    [[3, 13], [21, 23], [0], [1], [2], [4], [5], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [17], [18], [19], [20], [22], [24]]
2460    [[3, 13], [21, 23], [0], [1], [2], [4], [5], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [17], [18], [19], [20], [22], [24]]
2520    [[3, 13], [21, 23], [0], [1], [2], [4], [5], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [17], [18], [19], [20], [22], [24]]
2580    [[3, 13], [24, 21], [0], [1], [2], [4], [5], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [17], [18], [19], [20], [22], [23]]
2640    [[3, 13], [0], [1], [2], [4], [5], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
2700    [[3, 13], [0], [1], [2], [4], [5], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
2760    [[3, 13, 5], [0], [1], [2], [4], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
2820    [[3, 5], [0], [1], [2], [4], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
2880    [[3, 5, 13], [0], [1], [2], [4], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
2940    [[3, 5, 13], [0], [1], [2], [4], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3000    [[3, 5], [0], [1], [2], [4], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3060    [[3, 5], [0], [1], [2], [4], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3120    [[3, 5], [0], [1], [2], [4], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3180    [[3, 5], [0], [1], [2], [4], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3240    [[3, 5], [0], [1], [2], [4], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3300    [[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3360    [[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3420    [[5, 21], [0], [1], [2], [3], [4], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [22], [23], [24]]
3480    [[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3540    [[5, 13], [0], [1], [2], [3], [4], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3600    [[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3660    [[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3720    [[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3780    [[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3840    [[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
3900    [[0, 17, 2, 3, 4, 13], [10, 20], [1], [5], [6], [7], [8], [9], [11], [12], [14], [15], [16], [18], [19], [21], [22], [23], [24]]
3960    [[1, 4, 7], [10, 14], [24, 23], [0], [2], [3], [5], [6], [8], [9], [11], [12], [13], [15], [16], [17], [18], [19], [20], [21], [22]]
4020    [[24, 20, 13, 23], [0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [17], [18], [19], [21], [22]]
4080    [[17, 4], [0], [1], [2], [3], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [18], [19], [20], [21], [22], [23], [24]]
4140    [[24, 17, 4, 14, 7], [10, 20], [0], [1], [2], [3], [5], [6], [8], [9], [11], [12], [13], [15], [16], [18], [19], [21], [22], [23]]
4200    [[17, 4, 6, 14, 7], [10, 20], [13, 21], [0], [1], [2], [3], [5], [8], [9], [11], [12], [15], [16], [18], [19], [22], [23], [24]]
4260    [[0, 17, 4, 1], [2, 3], [13, 21], [5], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [18], [19], [20], [22], [23], [24]]
4320    [[0, 17, 4, 1, 9, 13], [2], [3], [5], [6], [7], [8], [10], [11], [12], [14], [15], [16], [18], [19], [20], [21], [22], [23], [24]]
4380    [[6, 3, 4, 13, 14], [0, 17, 1], [2], [5], [7], [8], [9], [10], [11], [12], [15], [16], [18], [19], [20], [21], [22], [23], [24]]
4440    [[1, 4, 17], [13, 21], [0], [2], [3], [5], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [18], [19], [20], [22], [23], [24]]
4500    [[1, 17], [13, 21], [0], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [18], [19], [20], [22], [23], [24]]
4560    [[8, 1, 10, 7, 17], [20, 4, 14], [13, 21], [0], [2], [3], [5], [6], [9], [11], [12], [15], [16], [18], [19], [22], [23], [24]]
4620    [[1, 17], [10, 7], [13, 21], [0], [2], [3], [4], [5], [6], [8], [9], [11], [12], [14], [15], [16], [18], [19], [20], [22], [23], [24]]
4680    [[13, 21], [0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [17], [18], [19], [20], [22], [23], [24]]
4740    [[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
4800    [[8, 20, 10, 4], [17, 7], [13, 21], [24, 23], [0], [1], [2], [3], [5], [6], [9], [11], [12], [14], [15], [16], [18], [19], [22]]
4860    [[3, 13, 21], [8, 10, 4], [17, 7], [0], [1], [2], [5], [6], [9], [11], [12], [14], [15], [16], [18], [19], [20], [22], [23], [24]]
4920    [[10, 4, 13], [0], [1], [2], [3], [5], [6], [7], [8], [9], [11], [12], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
4980    [[1, 17], [10, 4], [0], [2], [3], [5], [6], [7], [8], [9], [11], [12], [13], [14], [15], [16], [18], [19], [20], [21], [22], [23], [24]]
5040    [[10, 4], [0], [1], [2], [3], [5], [6], [7], [8], [9], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
5100    [[1, 10, 4, 7], [0], [2], [3], [5], [6], [8], [9], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
5160    [[1, 4], [0], [2], [3], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
5220    [[1, 3, 4, 13, 20], [16, 10, 14], [0], [2], [5], [6], [7], [8], [9], [11], [12], [15], [17], [18], [19], [21], [22], [23], [24]]
5280    [[1, 3, 4, 13, 20], [16, 10, 14, 7], [0], [2], [5], [6], [8], [9], [11], [12], [15], [17], [18], [19], [21], [22], [23], [24]]
5340    [[16, 1, 4, 20, 10, 13, 14], [0], [2], [3], [5], [6], [7], [8], [9], [11], [12], [15], [17], [18], [19], [21], [22], [23], [24]]
